restaurant_code,menu_name,price,description
3,바질파스타,12700,"링귀니,홈메이드 바질 페스토,그라나파다노,레몬제스트,생 레몬"
3,녹차라떼,5000,
3,토마토파스타,12700,"스파게티니, 직접 끓인 토마토 소스, 그라파다노 치즈"
3,봉골레파스타,14700,"스파게티니,산지 직송 조개,엔초비,마늘,양파,페퍼론치노,생 파슬리,마늘쫑"
3,한국 피자 [L] 8조각,28700,"토마토 소스, 모짜렐라 치즈, 피망, 적양파, 수제 불고기, 볶음김치"
3,잠봉크림파스타,15700,"딸리아뗄레,크림,체다 치즈,파마산 치즈,통 베이컨,쪽파,잠봉,만가닥 버섯"
3,라구파스타,15700,"푸질리,홈메이드 라구 소스,마늘,그라나파다노,루꼴라"
3,치즈 케익,48000,8조각 홀 케익
3,브라우니 케익,56000,8조각 홀 케익
3,당근 케익,52000,8조각 홀 케익
3,바스크 치즈 케익,56000,8조각 홀 케익
3,우유,4200,
3,스트로베리 크럼블 케익,49600,8조각 홀 케익
3,시나몬 번,4800,
4,아귀찜 소,40000,
4,아귀찜 중,53000,
4,아귀찜 대,65000,
5,크림와플,3300,와플대학만의 10가지 크림 중 원하는 맛을 골라 즐기는 와플
5,애플시나몬와플,3900,"와플대학의 시그니처 메뉴로, 화이트크림에 사과잼과 시나몬 파우더를 더해 즐기는 와플"
5,토피토피넛 젤라또와플,7300,"고소한 아몬드와 호두가 바닐라 젤라또 속에 퐁당, 누텔라와 카라멜 시럽이 더해져 입안 가득 깊은 풍미가 번지는 와플"
5,스노우와플,3900,와플대학만의 10가지 크림에 화이트크림을 더해 즐기는 와플
5,메이플시나몬와플,3600,달콤한 메이플 시럽에 시나몬 파우더를 더해 향긋한 와플
5,추억의 사과잼 와플,4000,밀크크림에 사과잼을 더한 추억의 와플
5,추억의 딸기잼 와플,4000,밀크크림에 딸기잼을 더한 추억의 와플
5,해피 커스터드 바닐라빈와플,3300,바닐라 빈이 들어가 부드러운 커스타드 크림을 듬뿍 담은 와플
5,플레인와플,2700,토핑없이 담백하고 바삭한 기본 와플
5,해피 커스터드 코코넛와플,4300,"부드러운 커스터드 크림에 코코넛과 카라멜을 더해 이국적이고, 달콤한 풍미의 와플"
